Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 167.206 (49); 177.324 (51); 344.530
10-19; 263.187 (50); 260.591 (50); 523.778
20-29; 263.156 (53); 233.795 (47); 496.951
30-39; 253.422 (53); 221.600 (47); 475.022
40-49; 252.297 (54); 217.064 (46); 469.361
50-59; 217.286 (53); 194.805 (47); 412.091
60-69; 137.104 (52); 125.639 (48); 262.743
70-79;  82.819 (50);  81.519 (50); 164.338
80-89;  30.019 (53);  26.997 (47);  57.016
90+;   8.635 (69);   3.900 (31);  12.535
I alt;1.675.131 (52);1.543.234 (48);3.218.365
