Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 46 2022;0-59;Indlæggelse pga. covid-19;26,8
uge 47 2022;0-59;Indlæggelse pga. covid-19;32,5
uge 48 2022;0-59;Indlæggelse pga. covid-19;34,0
uge 49 2022;0-59;Indlæggelse pga. covid-19;36,9
uge 50 2022;0-59;Indlæggelse pga. covid-19;32,1
uge 51 2022;0-59;Indlæggelse pga. covid-19;44,4
uge 52 2022;0-59;Indlæggelse pga. covid-19;36,7
uge 01 2023;0-59;Indlæggelse pga. covid-19;36,0
uge 46 2022;60+;Indlæggelse pga. covid-19;42,9
uge 47 2022;60+;Indlæggelse pga. covid-19;43,9
uge 48 2022;60+;Indlæggelse pga. covid-19;41,6
uge 49 2022;60+;Indlæggelse pga. covid-19;42,6
uge 50 2022;60+;Indlæggelse pga. covid-19;47,2
uge 51 2022;60+;Indlæggelse pga. covid-19;47,7
uge 52 2022;60+;Indlæggelse pga. covid-19;51,9
uge 01 2023;60+;Indlæggelse pga. covid-19;53,0
uge 46 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;19,7
uge 47 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;27,7
uge 48 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;24,8
uge 49 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;23,5
uge 50 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;24,5
uge 51 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;20,1
uge 52 2022;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;26,6
uge 01 2023;0-59;Indlæggelse, hvor covid-19 kan have spillet en rolle;17,6
uge 46 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;25,1
uge 47 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;31,8
uge 48 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;26,7
uge 49 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;28,0
uge 50 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;24,3
uge 51 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;28,5
uge 52 2022;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;24,5
uge 01 2023;60+;Indlæggelse, hvor covid-19 kan have spillet en rolle;24,0
uge 46 2022;0-59;Indlæggelse pga. andre forhold end covid-19;53,5
uge 47 2022;0-59;Indlæggelse pga. andre forhold end covid-19;39,8
uge 48 2022;0-59;Indlæggelse pga. andre forhold end covid-19;41,1
uge 49 2022;0-59;Indlæggelse pga. andre forhold end covid-19;39,7
uge 50 2022;0-59;Indlæggelse pga. andre forhold end covid-19;43,4
uge 51 2022;0-59;Indlæggelse pga. andre forhold end covid-19;35,5
uge 52 2022;0-59;Indlæggelse pga. andre forhold end covid-19;36,7
uge 01 2023;0-59;Indlæggelse pga. andre forhold end covid-19;46,4
uge 46 2022;60+;Indlæggelse pga. andre forhold end covid-19;32,0
uge 47 2022;60+;Indlæggelse pga. andre forhold end covid-19;24,3
uge 48 2022;60+;Indlæggelse pga. andre forhold end covid-19;31,7
uge 49 2022;60+;Indlæggelse pga. andre forhold end covid-19;29,4
uge 50 2022;60+;Indlæggelse pga. andre forhold end covid-19;28,5
uge 51 2022;60+;Indlæggelse pga. andre forhold end covid-19;23,7
uge 52 2022;60+;Indlæggelse pga. andre forhold end covid-19;23,5
uge 01 2023;60+;Indlæggelse pga. andre forhold end covid-19;23,0
