Dato;Aldersgruppe;Nyindlæggelser pr. dag
2022-11-14;0-59;12
2022-11-15;0-59;11
2022-11-16;0-59;10
2022-11-17;0-59;12
2022-11-18;0-59;13
2022-11-19;0-59;8
2022-11-20;0-59;5
2022-11-21;0-59;17
2022-11-22;0-59;12
2022-11-23;0-59;11
2022-11-24;0-59;15
2022-11-25;0-59;11
2022-11-26;0-59;7
2022-11-27;0-59;15
2022-11-28;0-59;29
2022-11-29;0-59;14
2022-11-30;0-59;25
2022-12-01;0-59;17
2022-12-02;0-59;20
2022-12-03;0-59;17
2022-12-04;0-59;21
2022-12-05;0-59;26
2022-12-06;0-59;35
2022-12-07;0-59;22
2022-12-08;0-59;25
2022-12-09;0-59;27
2022-12-10;0-59;21
2022-12-11;0-59;24
2022-12-12;0-59;33
2022-12-13;0-59;30
2022-12-14;0-59;45
2022-12-15;0-59;24
2022-12-16;0-59;27
2022-12-17;0-59;26
2022-12-18;0-59;30
2022-12-19;0-59;45
2022-12-20;0-59;33
2022-12-21;0-59;36
2022-12-22;0-59;22
2022-12-23;0-59;32
2022-12-24;0-59;9
2022-12-25;0-59;37
2022-12-26;0-59;24
2022-12-27;0-59;28
2022-12-28;0-59;33
2022-12-29;0-59;34
2022-12-30;0-59;23
2022-12-31;0-59;17
2023-01-01;0-59;30
2023-01-02;0-59;23
2023-01-03;0-59;24
2023-01-04;0-59;22
2023-01-05;0-59;22
2023-01-06;0-59;17
2023-01-07;0-59;14
2023-01-08;0-59;5
2022-11-14;60+;30
2022-11-15;60+;23
2022-11-16;60+;31
2022-11-17;60+;24
2022-11-18;60+;23
2022-11-19;60+;14
2022-11-20;60+;31
2022-11-21;60+;19
2022-11-22;60+;33
2022-11-23;60+;27
2022-11-24;60+;42
2022-11-25;60+;35
2022-11-26;60+;28
2022-11-27;60+;31
2022-11-28;60+;47
2022-11-29;60+;54
2022-11-30;60+;34
2022-12-01;60+;53
2022-12-02;60+;41
2022-12-03;60+;36
2022-12-04;60+;40
2022-12-05;60+;54
2022-12-06;60+;46
2022-12-07;60+;49
2022-12-08;60+;50
2022-12-09;60+;40
2022-12-10;60+;46
2022-12-11;60+;62
2022-12-12;60+;67
2022-12-13;60+;62
2022-12-14;60+;74
2022-12-15;60+;72
2022-12-16;60+;78
2022-12-17;60+;58
2022-12-18;60+;75
2022-12-19;60+;96
2022-12-20;60+;98
2022-12-21;60+;89
2022-12-22;60+;109
2022-12-23;60+;84
2022-12-24;60+;71
2022-12-25;60+;78
2022-12-26;60+;79
2022-12-27;60+;112
2022-12-28;60+;111
2022-12-29;60+;103
2022-12-30;60+;79
2022-12-31;60+;70
2023-01-01;60+;70
2023-01-02;60+;98
2023-01-03;60+;99
2023-01-04;60+;81
2023-01-05;60+;82
2023-01-06;60+;72
2023-01-07;60+;37
2023-01-08;60+;51
